"Moneta","CHFPar"
"ATS",0.0973132896811843
"AUD",0.96795842
"BEF",0.0331944318156465
"BRL",0.572407783909381
"CAD",0.975160811479466
"CHF",1
"CHr",1
"DEM",0.684650537112121
"DKK",0.179663427352453
"ESP",0.00804791304556874
"EUR",1.33853808
"FIM",0.225213734898827
"FRF",0.204138390168868
"GBP",1.57979328
"GRD",0.00392974338958180
"IDR",0.000109916341327384
"IEP",1.70025554748566
"ITL",0.000691566806282182
"JPY",0.0118580024067389
"MXN",0.0802181699772061
"NLG",0.607638963384474
"NOK",0.164411445732877
"NZD",0.7597434
"PLD",670.25
"PLN",0.34107507528296
"PTE",0.00667920341975838
"SEK",0.1430333996197
"SGD",0.757941696792554
"SLV",25.260729
"TRY",0.680995162404976
"USD",0.9627
"XAG",25.260729
"XAU",1359.43
"ZAR",0.141033347645628
