"","priceNextContract"
"2005-10-19",14.66
"2005-11-16",12.76
"2005-12-21",12.59
"2006-01-18",13.27
"2006-02-15",12.99
"2006-03-22",12.43
"2006-04-19",12.61
"2006-05-17",14.42
"2006-06-21",15.67
"2006-07-19",15.81
"2006-08-16",14.19
"2006-09-20",13.59
"2006-10-18",12.59
"2006-11-15",11.62
"2006-12-20",12.35
"2007-01-17",11.91
"2007-02-14",11.63
"2007-03-21",13.28
"2007-04-18",13.13
"2007-05-16",14.06
"2007-06-20",15.03
"2007-07-18",17.37
"2007-08-22",22.7
"2007-09-19",20.57
"2007-10-17",21.07
"2007-11-21",26.81
"2007-12-19",24.42
"2008-01-16",24.99
"2008-02-18",25.93
"2008-03-19",27.41
"2008-04-16",22.96
"2008-05-21",22.14
"2008-06-18",23.35
"2008-07-16",24.72
"2008-08-20",22.45
"2008-09-17",26.61
"2008-10-22",48.33
"2008-11-19",62.9
"2008-12-17",52.07
"2009-01-21",51.13
"2009-02-18",44.85
"2009-03-18",40.95
"2009-04-15",38.8
"2009-05-20",30.5
"2009-06-17",32.65
"2009-07-22",27.2
"2009-08-19",28.35
"2009-09-16",25.95
"2009-10-21",24.55
"2009-11-18",24.4
"2009-12-16",24.1
"2010-01-20",21.4
"2010-02-17",22.75
"2010-03-17",20.1
"2010-04-21",18.7
"2010-05-19",31.65
"2010-06-16",27.8
"2010-07-21",28.85
"2010-08-18",29
"2010-09-15",25.2
"2010-10-20",22.6
"2010-11-17",22.3
"2010-12-22",19.25
"2011-01-19",18.75
"2011-02-16",18.3
"2011-03-16",24.9
"2011-04-20",18.15
"2011-05-18",18.05
"2011-06-15",20.95
"2011-07-20",19.35
"2011-08-17",27.95
"2011-09-21",35.75
